;time;value
494;2023-07-29T16:35:02.743269Z;26.2
495;2023-07-29T16:38:22.816267Z;26.3
496;2023-07-29T16:41:42.726351Z;26.4
497;2023-07-29T16:44:02.917888Z;26.5
498;2023-07-29T16:46:43.921526Z;26.6
499;2023-07-29T16:52:04.420383Z;26.7
500;2023-07-29T16:58:22.744207Z;26.8
501;2023-07-29T17:05:22.822428Z;26.9
502;2023-07-29T17:08:02.823446Z;27.0
503;2023-07-29T17:11:42.823437Z;27.1
504;2023-07-29T17:17:22.824214Z;27.2
505;2023-07-29T17:22:22.927909Z;27.3
506;2023-07-29T17:24:22.782580Z;27.4
507;2023-07-29T17:26:22.924207Z;27.5
508;2023-07-29T17:28:25.624554Z;27.6
509;2023-07-29T17:32:27.830078Z;27.7
510;2023-07-29T17:38:22.948163Z;27.8
511;2023-07-29T17:40:44.126594Z;27.9
512;2023-07-29T17:43:03.052197Z;28.0
513;2023-07-29T17:45:43.040756Z;28.1
514;2023-07-29T17:48:22.932713Z;28.2
515;2023-07-29T17:51:03.241820Z;28.3
516;2023-07-29T17:53:43.035178Z;28.4
517;2023-07-29T17:56:24.292127Z;28.5
518;2023-07-29T17:59:26.042634Z;28.6
519;2023-07-29T18:02:23.145042Z;28.7
520;2023-07-29T18:05:23.130847Z;28.8
521;2023-07-29T18:08:24.235564Z;28.9
522;2023-07-29T18:11:44.432703Z;29.0
523;2023-07-29T18:15:23.042219Z;29.1
524;2023-07-29T18:19:03.034497Z;29.2
525;2023-07-29T18:22:43.334584Z;29.3
526;2023-07-29T18:27:03.145369Z;29.4
527;2023-07-29T18:32:24.232678Z;29.5
528;2023-07-29T18:33:26.250144Z;29.5
529;2023-07-29T18:37:23.158053Z;29.6
530;2023-07-29T18:43:03.152782Z;29.7
531;2023-07-29T18:50:04.555090Z;29.8
532;2023-07-29T19:06:05.938603Z;29.9
533;2023-07-29T22:50:23.971503Z;0.0
534;2023-07-29T22:54:08.183457Z;0.0
535;2023-07-30T00:11:47.297976Z;0.0
536;2023-07-30T02:42:27.919408Z;0.0
537;2023-07-30T04:47:45.519130Z;0.1
538;2023-07-30T05:18:05.731011Z;0.2
539;2023-07-30T05:33:05.825379Z;0.3
540;2023-07-30T05:43:26.825359Z;0.4
541;2023-07-30T05:52:25.743095Z;0.5
542;2023-07-30T06:01:11.128561Z;0.6
543;2023-07-30T06:09:25.839795Z;0.7
544;2023-07-30T06:18:09.430124Z;0.8
545;2023-07-30T06:27:25.832182Z;0.9
546;2023-07-30T06:37:05.964329Z;1.0
547;2023-07-30T06:42:28.141953Z;1.1
548;2023-07-30T06:48:25.951602Z;1.2
549;2023-07-30T06:57:46.045549Z;1.3
550;2023-07-30T07:05:26.043262Z;1.4
551;2023-07-30T07:10:28.843039Z;1.5
552;2023-07-30T07:14:26.040923Z;1.6
553;2023-07-30T07:18:46.039964Z;1.7
554;2023-07-30T07:23:30.153833Z;1.8
555;2023-07-30T07:27:46.243179Z;1.9
556;2023-07-30T07:32:12.765384Z;2.0
557;2023-07-30T07:33:49.053751Z;2.0
558;2023-07-30T07:35:46.147956Z;2.1
559;2023-07-30T07:40:26.153099Z;2.2
560;2023-07-30T07:46:07.358449Z;2.3
561;2023-07-30T07:51:47.662105Z;2.4
562;2023-07-30T07:56:29.454909Z;2.5
563;2023-07-30T08:00:11.978107Z;2.6
564;2023-07-30T08:05:46.449769Z;2.7
565;2023-07-30T08:08:46.557140Z;2.8
566;2023-07-30T08:11:27.247615Z;2.9
567;2023-07-30T08:14:07.450133Z;3.0
568;2023-07-30T08:18:06.449024Z;3.1
569;2023-07-30T08:22:26.450070Z;3.2
570;2023-07-30T08:26:48.674706Z;3.3
571;2023-07-30T08:30:26.356811Z;3.4
572;2023-07-30T08:33:46.369520Z;3.5
573;2023-07-30T08:36:26.353721Z;3.6
574;2023-07-30T08:39:08.654400Z;3.7
575;2023-07-30T08:42:26.757054Z;3.8
576;2023-07-30T08:46:52.153277Z;3.9
577;2023-07-30T08:49:47.569481Z;4.0
